beta,gamma,yearly_I
0,69,58024.112205076606
0,70,58024.112205076606
0,71,58024.112205076606
0,72,58024.112205076606
0,73,58024.112205076606
0,74,58024.112205076606
0,75,58024.112205076606
0,76,58024.112205076606
0,77,58024.112205076606
0,78,58024.112205076606
0,79,58024.112205076606
0,80,58024.112205076606
0,81,58024.112205076606
0,82,58024.112205076606
0,83,58024.112205076606
0,84,58024.112205076606
0,85,58024.112205076606
0,86,58024.112205076606
0,87,58024.112205076606
0,88,58024.112205076606
0,89,58024.112205076606
0,90,58024.112205076606
0,91,58024.112205076606
0,92,58024.112205076606
0,93,58024.112205076606
0,94,58024.112205076606
0,95,58024.112205076606
0,96,58024.112205076606
0,97,58024.112205076606
0,98,58024.112205076606
0,99,58024.112205076606
0,100,58024.112205076606
0,101,58024.112205076606
0,102,58024.112205076606
0,103,58024.112205076606
0,104,58024.112205076606
0,105,58024.112205076606
0,106,58024.112205076606
0,107,58024.112205076606
0,108,58024.112205076606
0,109,58024.112205076606
0,110,58024.112205076606
0,111,58024.112205076606
0,112,58024.112205076606
0,113,58024.112205076606
0,114,58024.112205076606
0,115,58024.112205076606
0,116,58024.112205076606
0,117,58024.112205076606
0,118,58024.112205076606
0,119,58024.112205076606
0,120,58024.112205076606
0,121,58024.112205076606
0,122,58024.112205076606
0,123,58024.112205076606
0,124,58024.112205076606
0,125,58024.112205076606
0,126,58024.112205076606
0,127,58024.112205076606
0,128,58024.112205076606
0,129,58024.112205076606
0,130,58024.112205076606
0,131,58024.112205076606
0,132,58024.112205076606
0,133,58024.112205076606
0,134,58024.112205076606
0,135,58024.112205076606
0,136,58024.112205076606
0,137,58024.112205076606
0,138,58024.112205076606
0,139,58024.112205076606
0,140,58024.112205076606
0,141,58024.112205076606
0,142,58024.112205076606
0,143,58024.112205076606
0,144,58024.112205076606
0,145,58024.112205076606
0,146,58024.112205076606
0,147,58024.112205076606
0,148,58024.112205076606
0,149,58024.112205076606
0,150,58024.112205076606
0,151,58024.112205076606
0,152,58024.112205076606
0,153,58024.112205076606
0,154,58024.112205076606
0,155,58024.112205076606
0,156,58024.112205076606
0,157,58024.112205076606
0,158,58024.112205076606
0,159,58024.112205076606
0,160,58024.112205076606
0,161,58024.112205076606
0,162,58024.112205076606
0,163,58024.112205076606
0,164,58024.112205076606
0,165,58024.112205076606
0,166,58024.112205076606
0,167,58024.112205076606
0,168,58024.112205076606
0,169,58024.112205076606
0,170,58024.112205076606
0,171,58024.112205076606
0,172,58024.112205076606
0,173,58024.112205076606
0,174,58024.112205076606
0,175,58024.112205076606
0,176,58024.112205076606
0,177,58024.112205076606
0,178,58024.112205076606
0,179,58024.112205076606
0,180,58024.112205076606
1,-180,58056.7563585838
1,-179,58056.076237977424
1,-178,58055.38469602708
1,-177,58054.68194338308
1,-176,58053.96819411072
1,-175,58053.243665624905
1,-174,58052.50857862408
1,-173,58051.763157022826
1,-172,58051.00762788378
1,-171,58050.24222134845
1,-170,58049.46717056714
1,-169,58048.68271162775
1,-168,58047.889083484035
1,-167,58047.08652788296
1,-166,58046.27528929054
1,-165,58045.45561481809
1,-164,58044.627754146306
1,-163,58043.79195944958
1,-162,58042.948485319124
1,-161,58042.09758868526
1,-160,58041.23952873932
1,-159,58040.37456685478
1,-158,58039.50296650736
1,-157,58038.62499319495
1,-156,58037.7409143567
1,-155,58036.850999291666
1,-154,58035.9555190766
1,-153,58035.05474648329
1,-152,58034.14895589598
1,-151,58033.23842322718
1,-150,58032.32342583398
1,-149,58031.40424243349
1,-148,58030.481153017754
1,-147,58029.554438768915
1,-146,58028.624381972964
1,-145,58027.69126593426
1,-144,58026.75537488901
1,-143,58025.81699391862
1,-142,58024.87640886321
1,-141,58023.933906233855
1,-140,58022.989773126144
1,-139,58022.044297132175
1,-138,58021.097766252984
1,-137,58020.15046881111
1,-136,58019.20269336253
1,-135,58018.254728608874
1,-134,58017.3068633093
1,-133,58016.35938619282
1,-132,58015.4125858701
1,-131,58014.46675074568
1,-130,58013.52216893024
1,-129,58012.57912815242
1,-128,58011.63791567155
1,-127,58010.6988181901
1,-126,58009.76212176637
1,-125,58008.82811172701
1,-124,58007.8970725806
1,-123,58006.96928793073
1,-122,58006.04504038948
1,-121,58005.12461149172
1,-120,58004.2082816089
1,-119,58003.29632986404
1,-118,58002.38903404642
1,-117,58001.48667052726
1,-116,58000.58951417518
1,-115,57999.69783827258
1,-114,57998.81191443264
1,-113,57997.93201251649
1,-112,57997.05840055056
1,-111,57996.19134464566
1,-110,57995.33110891532
1,-109,57994.47795539579
1,-108,57993.63214396578
1,-107,57992.793932267676
1,-106,57991.96357562898
1,-105,57991.14132698425
1,-104,57990.32743679851
1,-103,57989.522152990394
1,-102,57988.72572085737
1,-101,57987.938383000255
1,-100,57987.16037924979
1,-99,57986.3919465935
1,-98,57985.63331910346
1,-97,57984.884727864795
1,-96,57984.14640090572
1,-95,57983.41856312788
1,-94,57982.701436237636
1,-93,57981.995238678704
1,-92,57981.30018556584
1,-91,57980.61648861888
1,-90,57979.944356098626
1,-89,57979.283992742974
1,-88,57978.635599705165
1,-87,57977.999374491905
1,-86,57977.375510903636
1,-85,57976.76419897519
1,-84,57976.165624918176
1,-83,57975.5799710639
1,-82,57975.00741580835
1,-81,57974.448133557366
1,-80,57973.90229467369
1,-79,57973.37006542513
1,-78,57972.85160793398
1,-77,57972.3470801273
1,-76,57971.8566356892
1,-75,57971.38042401377
1,-74,57970.91859015975
1,-73,57970.47127480617
1,-72,57970.0386142096
1,-71,57969.62074016276
1,-70,57969.21777995401
1,-69,57968.82985632894
1,-68,57968.4570874529
1,-67,57968.09958687492
1,-66,57967.75746349307
1,-65,57967.43082152147
1,-64,57967.11976045843
1,-63,57966.82437505616
1,-62,57966.54475529195
1,-61,57966.280986340644
1,-60,57966.03314854885
1,-59,57965.80131741036
1,-58,57965.585563543114
1,-57,57965.38595266796
1,-56,57965.202545588174
1,-55,57965.03539817139
1,-54,57964.884561332314
1,-53,57964.75008101741
1,-52,57964.631998190525
1,-51,57964.53034882093
1,-50,57964.445163872006
1,-49,57964.376469291776
1,-48,57964.32428600554
1,-47,57964.2886299086
1,-46,57964.26951186219
1,-45,57964.26693768996
1,-44,57964.28090817595
1,-43,57964.31141906456
1,-42,57964.358461061995
1,-41,57964.42201983877
